,Network Id,Retailer LocId,Retailer Location Name,Agency #,Activation Start Date,Activation End Date,Vacation Start1,Vacation End1,Vacation Start2,Vacation End2,Vacation Start3,Vacation End3,Vacation Start4,Vacation End4,Holiday1,Holiday2,Holiday3,Holiday4,Location Address,Location City,Location Region,Location Postalcode,Location Phone,Location Email,Location Direction,Working Days,Opening Hr Day1,Opening Hr Day2,Opening Hr Day3,Opening Hr Day4,Opening Hr Day5,Opening Hr Day6,Opening Hr Day7,Opening Hrs Holiday,Lattitude,Longitude,Is Active,Last Update,Unique Key,Location Address2
,FRMRS,98485,ROSE PUDDING,6068,4-12-2015,,,,,,,,,,15-2-2016,16-2-2016,17-2-2016,,AVENUE DE BORDEAUX,LE TEICH,,33470,,,SUR LE PARKING DU SUPER U,"Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","00:00 - 00:00,00:00 - 00:00","09:30 - 12:30,15:00 - 19:00","09:30 - 12:30,15:00 - 19:00","09:30 - 12:30,15:00 - 19:00","09:30 - 12:30,15:00 - 19:00","09:30 - 12:30,15:00 - 19:00",,"44,6229301","-1,0256875",Y,01-MAR-16 10.47.59.129505000 AM,BC6AA6AE13611A95644835816A146688,PARKING DE SUPER U
,FRMRS,98493,CORA NANCY HOUDEMONT S.A.V,7170,22-10-2012,,,,,,,,,,3-4-2015,,,16-8-2013,ROUTE DEPARTEMENTALE 570,HOUDEMONT,,54180,,,ENTREE PORTE 3 FRERES DAUM     EN FACE DU MAGASIN ORANGE,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00",,"48,640675","6,1835446",Y,01-MAR-16 10.47.59.129505000 AM,A37276092FC5938476B6B100BA1C99AE,
,FRMRS,98507,ENTR -OUVERT MENUISERIE ALU,2542,24-3-2014,,17-12-2015,3-1-2016,,,,,,,,,,,25 RUE DE L ETAIN,SAVIGNY LE TEMPLE,,77176,,,,"Mon,Tue,Wed,Thu,Fri","00:00 - 00:00,00:00 - 00:00","09:00 - 12:00,14:00 - 18:00","09:00 - 12:00,14:00 - 18:00","09:00 - 12:00,14:00 - 18:00","09:00 - 12:00,14:00 - 18:00","09:00 - 12:00,14:00 - 17:30","00:00 - 00:00,00:00 - 00:00",,"48,5903153","2,5885619",Y,01-MAR-16 10.47.59.129505000 AM,F44E120A89031E947B1A521DC50756A7,
,FRMRS,98515,AU PETIT TONNEAU,6068,28-1-2016,,,,,,,,,,,,,,180 LES BAINS NORD,LAGLORIEUSE,,40090,,,CENTRE BOURG,"Sun,Mon,Tue,Wed,Thu,Fri,Sat","06:30 - 14:00,00:00 - 00:00","06:30 - 14:00,00:00 - 00:00","06:30 - 14:00,16:00 - 20:00","06:30 - 14:00,16:00 - 20:00","06:30 - 14:00,16:00 - 20:00","06:30 - 14:00,16:00 - 20:00","06:30 - 14:00,16:00 - 20:00",,"43,8683296","-0,4048419",Y,01-MAR-16 10.47.59.284835000 AM,E00F4BD8F62025AFB22B298E25F83891,
,FRMRS,98523,LE COMMERCE,6556,16-10-2014,,2-1-2016,2-1-2016,,,,,,,2-1-2015,3-1-2015,31-3-2015,,29 RUE ALBERT FEREY,SAINT SAUVEUR LE VICOMTE,,50390,,,,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","06:00 - 20:00,00:00 - 00:00","06:00 - 20:00,00:00 - 00:00","06:00 - 20:00,00:00 - 00:00","06:00 - 20:00,00:00 - 00:00","06:00 - 20:00,00:00 - 00:00","06:00 - 20:00,00:00 - 00:00",,"49,3855569","-1,5297335",Y,01-MAR-16 10.47.59.284835000 AM,06FF96EE6B0B9086FADB1B8F009BC234,
,FRMRS,98558,TABAC WAECHTER,7374,14-11-2003,,27-12-2015,10-1-2016,,,,,,,25-3-2016,,,26-12-2016,41 RUE DU GENERAL DE GAULLE,DRUSENHEIM,,67410,,,EN FACE BOULANGERIE,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","07:00 - 12:15,13:15 - 18:30","07:00 - 12:15,13:15 - 18:30","07:00 - 12:15,13:15 - 18:30","07:00 - 12:15,00:00 - 00:00","07:00 - 12:15,13:15 - 18:30","07:00 - 12:15,13:15 - 17:00",,"48,764675","7,9502115",Y,01-MAR-16 10.47.59.284835000 AM,4046E7C052FD11C500B5FEB08BD9143F,
,FRMRS,98566,ALPES CUISINE MENAGER BOUCHET,2216,3-11-2013,,,,,,,,,,16-8-2014,,,,33 AVENUE GAL CARTIER - BISSY,COGNIN,,73160,,,QUARTIER BISSY,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","00:00 - 00:00,14:00 - 18:00","09:00 - 12:00,00:00 - 00:00","09:00 - 12:00,14:00 - 19:00","09:00 - 12:00,14:00 - 19:00","09:00 - 12:00,14:00 - 19:00","09:30 - 12:00,00:00 - 00:00",,"45,5752695","5,9001518",Y,01-MAR-16 10.47.59.284835000 AM,94B86C9C2CF8B1BFBFEB38B657B99AEC,BISSY
,FRMRS,98582,TABAC CADEAUX MASSE,6769,15-5-2010,,,,,,,,,,2-10-2013,2-11-2013,,16-8-2013,22 GRANDE RUE,LE MONTET,,3240,,,RUE PRINCIPALE,"Tue,Wed,Thu,Fri,Sat","08:00 - 12:30,00:00 - 00:00","00:00 - 00:00,00:00 - 00:00","07:30 - 19:30,00:00 - 00:00","07:30 - 19:30,00:00 - 00:00","07:30 - 19:30,00:00 - 00:00","07:30 - 19:30,00:00 - 00:00","07:30 - 19:30,00:00 - 00:00",,"46,422413","3,066975",Y,01-MAR-16 10.47.59.284835000 AM,4C432C81893BA26DDF941618FEC9388D,
,FRMRS,98604,NETTO,6769,14-11-2011,,,,,,,,,,2-11-2013,31-3-2015,,16-8-2013,136 ROUTE DE LYON,YZEURE,,3400,,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat","09:00 - 12:00,00:00 - 00:00","09:00 - 12:00,14:00 - 19:00","09:00 - 12:00,14:00 - 19:00","09:00 - 12:00,14:00 - 19:00","09:00 - 12:00,14:00 - 19:00","09:00 - 12:00,14:00 - 19:00","09:00 - 12:00,14:00 - 19:00",,"46,546684","3,340938",Y,01-MAR-16 10.47.59.284835000 AM,9AEF8DDF3346056048676D9E664BD406,
,FRMRS,98639,EPICERIE DE LIERGUES,7153,28-10-2015,,,,,,,,,,,,,,28 RUE DU CHATEAU DE L'ECLAIR,LIERGUES,,69400,,,,"Sun,Tue,Wed,Thu,Fri,Sat","07:30 - 12:30,00:00 - 00:00","00:00 - 00:00,00:00 - 00:00","07:30 - 12:30,15:00 - 19:30","07:30 - 12:30,15:00 - 19:30","07:30 - 12:30,15:00 - 19:30","07:30 - 12:30,15:00 - 19:30","07:30 - 12:30,15:00 - 19:00",,"45,9698474","4,6640235",Y,01-MAR-16 10.47.59.284835000 AM,C29225100C7FD6C6EC0FA8297636BE8B,
